PROGRAMA,CODIGO_SNIP,CODIGO_UNIFICADO,NOMBRE_PROYECTO,UNIDAD_EJECUTORA,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,BENEFICIARIOS,COSTO_TOTAL_INVERSION,MODALIDAD_FINANCIAMIENTO,ETAPA,ESTADO,FECHA_INICIO,FECHA_FIN,ESTADO_PIP_MEF,LATITUD,LONGITUD
PNSR,344418,2305673,"INSTALACION DE LOS SERVICIOS DE AGUA POTABLE Y SANEAMIENTO RURAL EN LOS SECTORES DE NUEVA CALA CALA, ASPAEX, ASPAEX-I Y ASPAEX-III (LOS CARIBEÑOS), CENTRO POBLADO DE YACANGO, DISTRITO DE TORATA - MARISCAL NIETO - MOQUEGUA",PROGRAMA NACIONAL DE SANEAMIENTO RURAL,MOQUEGUA,MARISCAL NIETO,TORATA,180106,520,9312007.04,OBRAS POR IMPUESTO,OBRA,CONCLUIDO,2022-04-06,2023-02-22,ACTIVO,-16.942979999999977,-70.67124999999999
PNSR,350013,2312883,"MEJORAMIENTO DEL SISTEMA DE SANEAMIENTO EN LA COMUNIDAD DE HUILLCARPAY, DISTRITO DE SAN SEBASTIAN - CUSCO - CUSCO",PROGRAMA NACIONAL DE SANEAMIENTO RURAL,CUSCO,CUSCO,SAN SEBASTIAN,80105,367,3842416.7,OBRAS POR IMPUESTO,OBRA,CONCLUIDO,2022-05-10,2022-11-22,ACTIVO,-13.523489999999981,-71.93059999999997
PNSR,376847,2337923,"CREACION DE UNIDADES BÁSICAS DE SANEAMIENTO EN EL CASERÍO LA CUADRATURA, DISTRITO DE HUALGAYOC - HUALGAYOC - CAJAMARCA",PROGRAMA NACIONAL DE SANEAMIENTO RURAL,CAJAMARCA,HUALGAYOC,HUALGAYOC,60703,672,3203961.1,OBRAS POR IMPUESTO,OBRA,CONCLUIDO,2022-09-29,2023-04-25,ACTIVO,-6.709626592999939,-78.54598142699996
PNSR,2497437,2497437,MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO CONDORCOCHA DEL DISTRITO DE LA UNION - PROVINCIA DE TARMA - DEPARTAMENTO DE JUNIN,PROGRAMA NACIONAL DE SANEAMIENTO RURAL,JUNÍN,TARMA,LA UNION,120705,1487,7593649.94,OBRAS POR IMPUESTO,OBRA,EN EJECUCIÓN,2023-06-30,2023-09-23,ACTIVO,-5.396789999999953,-80.74060999999995
PNSR,299528,2202459,"INSTALACION DE LOS SERVICIOS DE AGUA POTABLE, DISPOSICIÓN SANITARIA DE EXCRETAS Y DE AGUAS GRISES EN LA COMUNIDAD NATIVA DE EPEMIMU, DISTRITO DE IMAZA, PROVINCIA DE BAGUA, DEPARTAMENTO DE AMAZONAS",PROGRAMA NACIONAL DE SANEAMIENTO RURAL,AMAZONAS,BAGUA,IMAZA,10205,325,1893552.64,NÚCLEO EJECUTOR,OBRA,POST EJECUCIÓN,2015-08-19,2016-01-30,ACTIVO,-4.930039999999963,-78.22958999999997
PNSR,299634,2235422,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DE LA DISPOSICION SANITARIA DE EXCRETAS Y DE AGUAS GRISES EN LA COMUNIDAD NATIVA DE WAWAS, DISTRITO DE IMAZA, PROVINCIA DE BAGUA, DEPARTAMENTO DE AMAZONAS",PROGRAMA NACIONAL DE SANEAMIENTO RURAL,AMAZONAS,BAGUA,IMAZA,10205,427,2338323.94,NÚCLEO EJECUTOR,OBRA,POST EJECUCIÓN,2015-07-17,2016-05-26,ACTIVO,-4.930039999999963,-78.22958999999997
PNSR,308260,2305484,"MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO DE 7 DE JUNIO, DISTRITO DE JEPELACIO, PROVINCIA DE MOYOBAMBA, DEPARTAMENTO DE SAN MARTÍN",PROGRAMA NACIONAL DE SANEAMIENTO RURAL,SAN MARTIN,MOYOBAMBA,JEPELACIO,220104,311,1811849.76,NÚCLEO EJECUTOR,OBRA,POST EJECUCIÓN,2016-10-04,2019-04-01,ACTIVO,-6.10830999999996,-76.91625999999997
PNSR,303322,2293850,"MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO DE OCHAME, DISTRITO DE JEPELACIO, PROVINCIA DE MOYOBAMBA, DEPARTAMENTO DE SAN MARTIN",PROGRAMA NACIONAL DE SANEAMIENTO RURAL,SAN MARTIN,MOYOBAMBA,JEPELACIO,220104,260,2446000.93,NÚCLEO EJECUTOR,OBRA,POST EJECUCIÓN,2017-04-01,2020-02-29,ACTIVO,-6.10830999999996,-76.91625999999997
PNSR,309623,2307770,"MEJORAMIENTO Y AMPLIACIÓN  DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO LA CRUZ DEL ALTO MAYO, DISTRITO DE MOYOBAMBA, PROVINCIA DE MOYOBAMBA, DEPARTAMENTO DE SAN MARTÍN",PROGRAMA NACIONAL DE SANEAMIENTO RURAL,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,220101,300,1986271.81,NÚCLEO EJECUTOR,OBRA,POST EJECUCIÓN,2017-04-01,2019-07-31,ACTIVO,-6.032709999999952,-76.97229999999996
PNSR,309763,2304268,"MEJORAMIENTO Y AMPLIACIÓN  DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CENTRO POBLADO EL IMPERIO DE CACHIYACU, DISTRITO DE MOYOBAMBA, PROVINCIA DE MOYOBAMBA, DEPARTAMENTO DE SAN MARTÍN",PROGRAMA NACIONAL DE SANEAMIENTO RURAL,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,220101,252,1984743.44,NÚCLEO EJECUTOR,OBRA,POST EJECUCIÓN,2016-10-04,2018-08-30,ACTIVO,-6.032709999999952,-76.97229999999996
